Anonymous Order Key,Anonymous Customer Key,Order Date,Ship Date,Ship Mode,Segment,Country,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Product ID Reused,Product Name Multiple IDs,Product Key,Shipping Days,Order Year,Order Month Number,Order Month,Order Year-Month,Data Quality Issue Count,Data Quality Status,Data Quality Notes
ORD-02457,CUST-0144,2017-11-08,2017-11-11,Second Class,Consumer,United States,Kentucky,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,False,False,FUR-BO-10001798 | Bush Somerset Collection Bookcase,3,2017,11,November,2017-11,0,Passed,No known data-quality issue
ORD-00082,CUST-0598,2015-11-11,2015-11-18,Standard Class,Consumer,United States,Wisconsin,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,False,False,"OFF-ST-10004186 | Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",7,2015,11,November,2015-11,0,Passed,No known data-quality issue
ORD-00759,CUST-0019,2015-05-13,2015-05-15,Second Class,Consumer,United States,Utah,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,False,False,OFF-ST-10000107 | Fellowes Super Stor/Drawer,2,2015,5,May,2015-05,0,Passed,No known data-quality issue
ORD-00517,CUST-0793,2015-08-27,2015-09-01,Second Class,Consumer,United States,California,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,False,False,OFF-AR-10003056 | Newell 341,5,2015,8,August,2015-08,0,Passed,No known data-quality issue
ORD-00517,CUST-0793,2015-08-27,2015-09-01,Second Class,Consumer,United States,California,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,False,False,TEC-PH-10001949 | Cisco SPA 501G IP Phone,5,2015,8,August,2015-08,0,Passed,No known data-quality issue
ORD-00517,CUST-0793,2015-08-27,2015-09-01,Second Class,Consumer,United States,California,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,False,False,"OFF-BI-10002215 | Wilson Jones Hanging View Binder, White, 1""",5,2015,8,August,2015-08,0,Passed,No known data-quality issue
ORD-02236,CUST-0418,2017-12-09,2017-12-13,Standard Class,Corporate,United States,Nebraska,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,False,False,OFF-AR-10000246 | Newell 318,4,2017,12,December,2017-12,0,Passed,No known data-quality issue
ORD-02236,CUST-0418,2017-12-09,2017-12-13,Standard Class,Corporate,United States,Nebraska,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,False,False,"OFF-AP-10001492 | Acco Six-Outlet Power Strip, 4' Cord Length",4,2017,12,December,2017-12,0,Passed,No known data-quality issue
ORD-04876,CUST-0685,2018-07-16,2018-07-18,Second Class,Consumer,United States,Pennsylvania,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,False,False,"FUR-CH-10002774 | Global Deluxe Stacking Chair, Gray",2,2018,7,July,2018-07,0,Passed,No known data-quality issue
ORD-00869,CUST-0250,2016-09-25,2016-09-30,Standard Class,Consumer,United States,Utah,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,False,False,FUR-TA-10000577 | Bretford CR4500 Series Slim Rectangular Table,5,2016,9,September,2016-09,0,Passed,No known data-quality issue
ORD-02002,CUST-0259,2017-01-16,2017-01-20,Second Class,Consumer,United States,California,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,False,False,OFF-BI-10001634 | Wilson Jones Active Use Binders,4,2017,1,January,2017-01,0,Passed,No known data-quality issue
ORD-02002,CUST-0259,2017-01-16,2017-01-20,Second Class,Consumer,United States,California,West,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,False,False,TEC-AC-10003027 | Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,4,2017,1,January,2017-01,0,Passed,No known data-quality issue
ORD-04380,CUST-0739,2016-09-17,2016-09-21,Standard Class,Consumer,United States,Pennsylvania,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,False,False,"FUR-BO-10004834 | Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",4,2016,9,September,2016-09,0,Passed,No known data-quality issue
ORD-04380,CUST-0739,2016-09-17,2016-09-21,Standard Class,Consumer,United States,Pennsylvania,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,False,False,OFF-BI-10000474 | Avery Recycled Flexi-View Covers for Binding Systems,4,2016,9,September,2016-09,0,Passed,No known data-quality issue
ORD-04380,CUST-0739,2016-09-17,2016-09-21,Standard Class,Consumer,United States,Pennsylvania,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,True,False,"FUR-FU-10004848 | Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",4,2016,9,September,2016-09,1,Review Required,Product ID reused for different products
ORD-04380,CUST-0739,2016-09-17,2016-09-21,Standard Class,Consumer,United States,Pennsylvania,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,False,False,OFF-EN-10001509 | Poly String Tie Envelopes,4,2016,9,September,2016-09,0,Passed,No known data-quality issue
ORD-04380,CUST-0739,2016-09-17,2016-09-21,Standard Class,Consumer,United States,Pennsylvania,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,False,False,"OFF-AR-10004042 | BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",4,2016,9,September,2016-09,0,Passed,No known data-quality issue
ORD-04380,CUST-0739,2016-09-17,2016-09-21,Standard Class,Consumer,United States,Pennsylvania,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,False,False,"OFF-BI-10001525 | Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",4,2016,9,September,2016-09,0,Passed,No known data-quality issue
ORD-04380,CUST-0739,2016-09-17,2016-09-21,Standard Class,Consumer,United States,Pennsylvania,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,15.76,False,False,OFF-AR-10001683 | Lumber Crayons,4,2016,9,September,2016-09,0,Passed,No known data-quality issue
ORD-02923,CUST-0483,2018-10-19,2018-10-23,Second Class,Home Office,United States,Texas,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,29.472,False,True,OFF-PA-10000249 | Easy-staple paper,4,2018,10,October,2018-10,1,Review Required,Product name linked to multiple IDs
ORD-01937,CUST-0301,2017-12-08,2017-12-10,First Class,Corporate,United States,Texas,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.544,False,False,TEC-PH-10004977 | GE 30524EE4,2,2017,12,December,2017-12,0,Passed,No known data-quality issue
ORD-01937,CUST-0301,2017-12-08,2017-12-10,First Class,Corporate,United States,Texas,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,False,False,"FUR-FU-10003664 | Electrix Architect's Clamp-On Swing Arm Lamp, Black",2,2017,12,December,2017-12,0,Passed,No known data-quality issue
ORD-01005,CUST-0705,2016-12-27,2016-12-31,Standard Class,Home Office,United States,Texas,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,False,False,"OFF-EN-10002986 | #10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",4,2016,12,December,2016-12,0,Passed,No known data-quality issue
ORD-01005,CUST-0705,2016-12-27,2016-12-31,Standard Class,Home Office,United States,Texas,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,False,False,"FUR-BO-10002545 | Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",4,2016,12,December,2016-12,0,Passed,No known data-quality issue
ORD-01005,CUST-0705,2016-12-27,2016-12-31,Standard Class,Home Office,United States,Texas,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,False,False,"FUR-CH-10004218 | Global Fabric Manager's Chair, Dark Gray",4,2016,12,December,2016-12,0,Passed,No known data-quality issue
ORD-01005,CUST-0705,2016-12-27,2016-12-31,Standard Class,Home Office,United States,Texas,Central,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,False,False,TEC-PH-10000486 | Plantronics HL10 Handset Lifter,4,2016,12,December,2016-12,0,Passed,No known data-quality issue
ORD-03158,CUST-0453,2018-09-10,2018-09-15,Standard Class,Corporate,United States,Illinois,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,147.168,False,False,TEC-PH-10004093 | Panasonic Kx-TS550,5,2018,9,September,2018-09,0,Passed,No known data-quality issue
ORD-01686,CUST-0618,2017-07-17,2017-07-22,Standard Class,Corporate,United States,California,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,False,False,"OFF-ST-10003479 | Eldon Base for stackable storage shelf, platinum",5,2017,7,July,2017-07,0,Passed,No known data-quality issue
ORD-03529,CUST-0279,2018-09-19,2018-09-23,Standard Class,Corporate,United States,Florida,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,False,False,"OFF-ST-10003282 | Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",4,2018,9,September,2018-09,0,Passed,No known data-quality issue
ORD-01950,CUST-0580,2017-03-11,2017-03-13,First Class,Corporate,United States,Minnesota,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,False,False,"TEC-AC-10000171 | Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",2,2017,3,March,2017-03,0,Passed,No known data-quality issue
ORD-01950,CUST-0580,2017-03-11,2017-03-13,First Class,Corporate,United States,Minnesota,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,False,False,OFF-BI-10003291 | Wilson Jones Leather-Like Binders with DublLock Round Rings,2,2017,3,March,2017-03,0,Passed,No known data-quality issue
ORD-00545,CUST-0604,2015-10-20,2015-10-25,Second Class,Consumer,United States,Michigan,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,False,False,"OFF-ST-10001713 | Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",5,2015,10,October,2015-10,0,Passed,No known data-quality issue
ORD-02738,CUST-0462,2017-06-20,2017-06-25,Standard Class,Consumer,United States,Delaware,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45.0,False,False,TEC-AC-10002167 | Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,5,2017,6,June,2017-06,0,Passed,No known data-quality issue
ORD-02738,CUST-0462,2017-06-20,2017-06-25,Standard Class,Consumer,United States,Delaware,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,False,False,"TEC-PH-10003988 | LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",5,2017,6,June,2017-06,0,Passed,No known data-quality issue
ORD-00989,CUST-0230,2016-04-18,2016-04-22,Standard Class,Consumer,United States,Indiana,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,False,False,"OFF-BI-10004410 | C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",4,2016,4,April,2016-04,0,Passed,No known data-quality issue
ORD-00989,CUST-0230,2016-04-18,2016-04-22,Standard Class,Consumer,United States,Indiana,Central,OFF-LA-10002762,Office Supplies,Labels,Avery 485,75.18,False,False,OFF-LA-10002762 | Avery 485,4,2016,4,April,2016-04,0,Passed,No known data-quality issue
ORD-00989,CUST-0230,2016-04-18,2016-04-22,Standard Class,Consumer,United States,Indiana,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,False,False,FUR-FU-10001706 | Longer-Life Soft White Bulbs,4,2016,4,April,2016-04,0,Passed,No known data-quality issue
ORD-00989,CUST-0230,2016-04-18,2016-04-22,Standard Class,Consumer,United States,Indiana,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,False,False,"FUR-CH-10003061 | Global Leather Task Chair, Black",4,2016,4,April,2016-04,0,Passed,No known data-quality issue
ORD-01755,CUST-0391,2017-12-11,2017-12-17,Standard Class,Corporate,United States,New York,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26,False,False,OFF-FA-10000304 | Advantus Push Pins,6,2017,12,December,2017-12,0,Passed,No known data-quality issue
ORD-01755,CUST-0391,2017-12-11,2017-12-17,Standard Class,Corporate,United States,New York,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,False,False,TEC-PH-10002447 | AT&T CL83451 4-Handset Telephone,6,2017,12,December,2017-12,0,Passed,No known data-quality issue
ORD-01841,CUST-0732,2017-06-17,2017-06-18,First Class,Consumer,United States,New York,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56,False,False,OFF-ST-10000604 | Home/Office Personal File Carts,1,2017,6,June,2017-06,0,Passed,No known data-quality issue
ORD-01841,CUST-0732,2017-06-17,2017-06-18,First Class,Consumer,United States,New York,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.4,False,False,OFF-PA-10001569 | Xerox 232,1,2017,6,June,2017-06,0,Passed,No known data-quality issue
ORD-01841,CUST-0732,2017-06-17,2017-06-18,First Class,Consumer,United States,New York,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41,False,False,FUR-CH-10003968 | Novimex Turbo Task Chair,1,2017,6,June,2017-06,0,Passed,No known data-quality issue
ORD-01841,CUST-0732,2017-06-17,2017-06-18,First Class,Consumer,United States,New York,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,False,False,"OFF-PA-10000587 | Array Parchment Paper, Assorted Colors",1,2017,6,June,2017-06,0,Passed,No known data-quality issue
ORD-01841,CUST-0732,2017-06-17,2017-06-18,First Class,Consumer,United States,New York,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30.0,False,False,TEC-AC-10002167 | Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,1,2017,6,June,2017-06,0,Passed,No known data-quality issue
ORD-01841,CUST-0732,2017-06-17,2017-06-18,First Class,Consumer,United States,New York,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,48.48,False,False,OFF-BI-10001460 | Plastic Binding Combs,1,2017,6,June,2017-06,0,Passed,No known data-quality issue
ORD-01841,CUST-0732,2017-06-17,2017-06-18,First Class,Consumer,United States,New York,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,False,False,OFF-AR-10001868 | Prang Dustless Chalk Sticks,1,2017,6,June,2017-06,0,Passed,No known data-quality issue
ORD-01246,CUST-0439,2016-11-24,2016-11-30,Standard Class,Consumer,United States,California,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,False,False,"TEC-AC-10004633 | Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",6,2016,11,November,2016-11,0,Passed,No known data-quality issue
ORD-01246,CUST-0439,2016-11-24,2016-11-30,Standard Class,Consumer,United States,California,West,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,False,False,"OFF-BI-10001078 | Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",6,2016,11,November,2016-11,0,Passed,No known data-quality issue
ORD-01246,CUST-0439,2016-11-24,2016-11-30,Standard Class,Consumer,United States,California,West,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,146.73,False,False,OFF-PA-10003892 | Xerox 1943,6,2016,11,November,2016-11,0,Passed,No known data-quality issue
ORD-01246,CUST-0439,2016-11-24,2016-11-30,Standard Class,Consumer,United States,California,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,False,False,FUR-FU-10000397 | Luxo Economy Swing Arm Lamp,6,2016,11,November,2016-11,0,Passed,No known data-quality issue
ORD-04409,CUST-0610,2016-04-30,2016-05-05,Standard Class,Home Office,United States,Illinois,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,True,False,"FUR-CH-10001146 | Global Value Mid-Back Manager's Chair, Gray",5,2016,4,April,2016-04,1,Review Required,Product ID reused for different products
ORD-00087,CUST-0107,2015-12-05,2015-12-10,Standard Class,Corporate,United States,Arizona,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,False,False,"OFF-AR-10002671 | Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",5,2015,12,December,2015-12,0,Passed,No known data-quality issue
ORD-00087,CUST-0107,2015-12-05,2015-12-10,Standard Class,Corporate,United States,Arizona,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,False,False,TEC-PH-10002726 | netTALK DUO VoIP Telephone Service,5,2015,12,December,2015-12,0,Passed,No known data-quality issue
ORD-01974,CUST-0423,2017-06-04,2017-06-06,First Class,Consumer,United States,Virginia,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,False,False,"OFF-PA-10000482 | Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",2,2017,6,June,2017-06,0,Passed,No known data-quality issue
ORD-01758,CUST-0330,2017-09-18,2017-09-23,Standard Class,Consumer,United States,New York,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,True,False,OFF-BI-10004654 | Avery Binding System Hidden Tab Executive Style Index Sets,5,2017,9,September,2017-09,1,Review Required,Product ID reused for different products
ORD-03037,CUST-0739,2018-09-14,2018-09-17,Second Class,Consumer,United States,Michigan,Central,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,False,False,"OFF-PA-10004675 | Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",3,2018,9,September,2018-09,0,Passed,No known data-quality issue
ORD-04343,CUST-0357,2016-04-26,2016-05-02,Standard Class,Consumer,United States,Tennessee,South,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,831.936,False,False,FUR-CH-10000513 | High-Back Leather Manager's Chair,6,2016,4,April,2016-04,0,Passed,No known data-quality issue
ORD-04343,CUST-0357,2016-04-26,2016-05-02,Standard Class,Consumer,United States,Tennessee,South,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,False,False,"FUR-FU-10003708 | Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",6,2016,4,April,2016-04,0,Passed,No known data-quality issue
ORD-04343,CUST-0357,2016-04-26,2016-05-02,Standard Class,Consumer,United States,Tennessee,South,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.784,False,False,OFF-ST-10004123 | Safco Industrial Wire Shelving System,6,2016,4,April,2016-04,0,Passed,No known data-quality issue
ORD-04724,CUST-0419,2018-12-09,2018-12-11,First Class,Corporate,United States,Texas,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1.248,False,False,OFF-BI-10004182 | Economy Binders,2,2018,12,December,2018-12,0,Passed,No known data-quality issue
ORD-04724,CUST-0419,2018-12-09,2018-12-11,First Class,Corporate,United States,Texas,Central,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,False,False,"FUR-FU-10000260 | 6"" Cubicle Wall Clock, Black",2,2018,12,December,2018-12,0,Passed,No known data-quality issue
ORD-04724,CUST-0419,2018-12-09,2018-12-11,First Class,Corporate,United States,Texas,Central,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,False,False,"OFF-ST-10000615 | SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",2,2018,12,December,2018-12,0,Passed,No known data-quality issue
ORD-04224,CUST-0357,2015-11-26,2015-12-01,Second Class,Consumer,United States,Texas,Central,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,False,False,"FUR-FU-10003194 | Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",5,2015,11,November,2015-11,0,Passed,No known data-quality issue
ORD-02082,CUST-0680,2017-06-12,2017-06-15,First Class,Corporate,United States,Alabama,South,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,False,False,"OFF-AP-10002118 | 1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",3,2017,6,June,2017-06,0,Passed,No known data-quality issue
ORD-02082,CUST-0680,2017-06-12,2017-06-15,First Class,Corporate,United States,Alabama,South,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,False,False,OFF-BI-10002309 | Avery Heavy-Duty EZD  Binder With Locking Rings,3,2017,6,June,2017-06,0,Passed,No known data-quality issue
